Player,Ratings,Salaries,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,2P,2PA,2P_perc,eFG,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Landry Shamet,76,"$12,784,359",SG,22,LAC,47,27,27.5,3.1,7.5,0.416,2.2,5.7,0.392,0.9,1.8,0.494,0.566,1.2,1.3,0.905,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.8,9.7
Rajon Rondo,76,"$2,174,310",PG,33,LAL,48,3,20.5,2.9,6.8,0.418,0.9,2.6,0.328,2,4.2,0.473,0.48,0.6,0.9,0.659,0.5,2.5,3,5,0.8,0,1.9,1.2,7.1
Avery Bradley,76,"$3,405,180",SG,29,LAL,49,44,24.2,3.5,7.8,0.444,1.3,3.5,0.364,2.2,4.3,0.51,0.526,0.4,0.5,0.833,0.4,2,2.3,1.3,0.9,0.1,1,2.2,8.6
Kentavious Caldwell-Pope,76,"$1,995,120",SG,26,LAL,63,20,25.4,3.5,7.4,0.472,1.4,3.5,0.394,2.1,3.9,0.543,0.565,1.2,1.5,0.779,0.6,1.5,2.1,1.7,0.8,0.2,0.9,1.9,9.5
Josh Jackson,76,"$2,564,753",SG,22,MEM,18,0,19.8,3.8,8.6,0.439,1.3,4,0.319,2.5,4.6,0.542,0.513,1.6,2.4,0.659,0.6,2.6,3.2,1.7,1,0.5,1.4,2.2,10.4
Meyers Leonard,76,"$6,767,000",C,27,MIA,49,49,20.1,2.4,4.6,0.52,1,2.4,0.429,1.3,2.1,0.625,0.635,0.3,0.5,0.654,0.6,4.5,5.1,1.1,0.3,0.3,0.7,2.1,6.1
Dion Waiters,76,"$8,089,282",SG,28,MIA,3,0,14,3.3,8.7,0.385,2.7,5.7,0.471,0.7,3,0.222,0.538,0,0.3,0,0,3.7,3.7,1,0,0.7,1,1.7,9.3
Wesley Matthews,76,"$7,059,480",SG,33,MIL,62,62,24.7,2.6,6.5,0.397,1.6,4.5,0.365,0.9,2,0.468,0.522,0.8,1,0.762,0.3,2.2,2.6,1.5,0.6,0.1,0.7,1.5,7.5
Jahlil Okafor,76,"$16,229,213",C,24,NOP,28,9,15.1,3.1,5.1,0.611,0,0.1,0.5,3.1,5.1,0.613,0.615,1.3,2.1,0.638,1.6,2.6,4.3,1.3,0.3,0.7,1.3,2.3,7.6
Elfrid Payton,76,"$11,286,515",PG,25,NYK,45,36,27.7,4.3,9.8,0.439,0.3,1.5,0.203,4,8.2,0.482,0.455,1.1,1.9,0.57,1.2,3.6,4.7,7.2,1.6,0.4,2.1,2,10
Kevin Knox,76,"$12,603,656",SF,20,NYK,65,4,17.9,2.2,6.2,0.359,1,3.1,0.327,1.2,3.1,0.391,0.44,1,1.6,0.653,0.4,2.4,2.8,0.9,0.4,0.4,0.7,1.6,6.4
Jonathan Isaac,76,"$7,815,533",SF,22,ORL,32,32,29.7,4.7,10.1,0.463,0.9,2.8,0.33,3.7,7.2,0.515,0.509,1.8,2.3,0.767,1.8,5.2,6.9,1.4,1.6,2.4,1.5,2.5,12
Frank Kaminsky,76,"$2,564,753",C,26,PHO,32,13,22.4,4,8.7,0.455,1.2,3.5,0.348,2.8,5.2,0.527,0.525,1.8,2.8,0.67,0.9,4,4.9,2.2,0.4,0.3,1,2.2,11
Rodney Hood,76,"$14,654,179",SF,27,POR,21,21,29.5,4.1,8.2,0.506,1.7,3.4,0.493,2.5,4.8,0.515,0.608,1,1.3,0.778,0.5,3,3.4,1.5,0.8,0.2,0.9,2.2,11
Dewayne Dedmon,76,"$1,702,486",C,30,ATL,44,18,17.6,2.3,5.8,0.4,0.5,2.4,0.206,1.8,3.4,0.541,0.443,0.7,0.8,0.833,1.4,4.3,5.7,0.5,0.6,0.9,1.3,3,5.8
Michael Kidd-Gilchrist,76,"$8,000,000",PF-SF,26,DAL,21,0,11,0.9,2.9,0.317,0.2,1,0.25,0.7,1.9,0.35,0.358,0.4,0.5,0.818,0.6,2,2.6,0.6,0.1,0.2,0.6,1.5,2.5
Jae Crowder,76,"$4,380,120",SF,29,MIA,58,46,29.2,3.4,8.8,0.384,1.9,6.1,0.318,1.4,2.7,0.532,0.494,1.6,2.1,0.785,0.8,5.3,6.1,2.6,1.2,0.4,1.1,2.2,10.4
Jeff Green,76,"$5,806,440",PF,33,HOU,40,2,18.9,2.9,6.5,0.444,1.2,3.5,0.348,1.7,3.1,0.553,0.536,1.4,1.8,0.781,0.6,2.3,2.8,0.8,0.5,0.4,0.9,1.6,8.4
Gorgui Dieng,76,"$4,767,000",C,30,MEM,58,17,17.4,2.7,5.9,0.461,0.9,2.4,0.359,1.8,3.5,0.532,0.535,1.1,1.4,0.735,1.5,4.3,5.8,1.2,0.8,1,0.9,1.9,7.4
Marvin Williams,76,"$5,718,000",PF,33,MIL,52,1,19.4,2.1,4.8,0.442,1,2.8,0.361,1.1,2,0.552,0.546,0.9,1,0.87,0.4,2.5,2.8,1.1,0.7,0.5,0.5,1.8,6.1
Trevor Ariza,76,"$12,200,000",SF,34,POR,53,21,28.2,2.7,6.1,0.438,1.5,3.9,0.372,1.2,2.2,0.556,0.557,1.2,1.4,0.838,0.6,4,4.6,1.7,1.3,0.3,1.1,2.1,8
Emmanuel Mudiay,76,"$1,737,145",PG,23,UTA,48,1,15.7,2.8,6,0.471,0.6,1.6,0.355,2.3,4.4,0.512,0.517,1.1,1.4,0.754,0.4,2,2.4,2.2,0.4,0.2,1.4,1.3,7.3
Isaiah Thomas,76,"$2,320,044",PG,30,WAS,40,37,23.1,4.4,10.7,0.408,2,4.7,0.413,2.4,5.9,0.405,0.5,1.6,1.9,0.816,0.3,1.4,1.7,3.7,0.3,0.2,1.9,1.9,12.2
Wilson Chandler,75,"$2,564,753",SF,32,BRK,35,3,21,2.1,5.2,0.404,1.1,3.5,0.306,1.1,1.8,0.597,0.505,0.6,0.7,0.87,0.3,3.8,4.1,1.1,0.5,0.3,1,2.3,5.9
Rodions Kurucs,75,"$1,699,236",PF,21,BRK,39,4,12.8,1.5,3.4,0.448,0.6,1.7,0.385,0.9,1.8,0.507,0.541,0.4,0.7,0.607,0.5,2,2.5,0.8,0.4,0.1,0.9,1.7,4.2
Kris Dunn,75,"$5,348,007",PG,25,CHI,51,32,24.9,3,6.7,0.444,0.6,2.2,0.259,2.4,4.5,0.535,0.487,0.8,1.1,0.741,0.5,3.2,3.6,3.4,2,0.3,1.3,3.1,7.3
Malik Monk,75,"$4,028,400",SG,21,CHO,55,1,21.3,3.9,8.9,0.434,1.1,3.7,0.284,2.8,5.2,0.542,0.494,1.5,1.8,0.82,0.5,2.4,2.9,2.1,0.5,0.3,1.4,1.3,10.3
Bismack Biyombo,75,"$17,000,000",C,27,CHO,53,29,19.4,2.8,5.2,0.543,0,0,,2.8,5.2,0.543,0.543,1.7,2.8,0.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4
Cedi Osman,75,"$2,907,143",SF,24,CLE,65,65,29.4,4.1,9.4,0.437,1.9,4.9,0.383,2.2,4.4,0.497,0.538,1,1.4,0.67,0.6,3,3.6,2.4,0.8,0.2,1.4,2.5,11
Luke Kennard,75,"$2,000,000",SG,23,DET,28,25,32.9,5.4,12.2,0.442,2.6,6.5,0.399,2.8,5.7,0.491,0.548,2.4,2.7,0.893,0.3,3.2,3.5,4.1,0.4,0.2,1.5,2.3,15.8
Robin Lopez,75,"$3,827,160",C,31,MIL,60,4,14.4,2.3,4.6,0.502,0.6,1.6,0.344,1.7,3,0.588,0.562,0.4,0.7,0.535,0.9,1.6,2.4,0.7,0.2,0.7,0.9,1.3,5.5
Kyle Korver,75,"$9,732,396",SF,38,MIL,50,0,16.7,2.2,5.2,0.429,1.7,4.1,0.415,0.5,1,0.481,0.595,0.6,0.7,0.824,0.3,1.8,2.1,1.2,0.4,0.2,0.8,1.4,6.7
George Hill,75,"$3,709,887",PG,33,MIL,52,0,21.2,3.4,6.5,0.53,1.4,2.9,0.48,2,3.5,0.571,0.638,1.3,1.6,0.831,0.9,2.1,3,2.9,0.8,0.1,0.9,1.4,9.6
